,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
1156,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу двусторонние с глубиномером (0-125) мм, ц.д.0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1157,48026-11,Весы лабораторные,,Поверка,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1158,71339-18,Приборы для измерения артериального давления и частоты пульса,,MED 55,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2021-10-18T00:00:00Z,2019-71339-18.pdf
1159,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу односторонний, (0-500; 0,05)",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1160,71339-18,Приборы для измерения артериального давления и частоты пульса,,исп. PRO-33,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2021-10-18T00:00:00Z,2019-71339-18.pdf
1161,48255-11,Весы вагонные тензометрические,,ВВТ-150-2,ВВТ,,,"ООО ""Новые автоматизированные измерительные системы"" (НАИС), г.Ростов-на-Дону.",2021-10-18T00:00:00Z,2021-48255-11-1.pdf
1162,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу двусторонний с глубиномером, от 0 до 250 мм, цена деления 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1163,64188-16,Индикаторы,,"ИЧЦ, мод. ИЧЦ 12,5 0,001",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-18T00:00:00Z,2016-64188-16.pdf
1164,48026-11,Весы лабораторные,,модификации ВК-150.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1165,48026-11,Весы лабораторные,,модификации BK-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1166,39667-08,Акселерометры пьезоэлектрические,,мод. 4393,4300,,,"Фирма ""Bruel & Kjaer"", Дания",2021-10-18T00:00:00Z,2014-39667-08.pdf
1167,48026-11,Весы лабораторные,,МАССА-К ВК-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1168,57858-14,Твердомеры универсальные,,Твердомер универсальный NOVOTEST T,NOVOTEST Т,,,"ООО НТЦ ""Промтехнологии"", Украина, г.Новомосковск",2021-10-18T00:00:00Z,2014-57858-14.pdf
1169,56796-14,Весы неавтоматического действия,,HL-1000WP,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-18T00:00:00Z,2014-56796-14.pdf
1170,48026-11,Весы лабораторные,,модификации ВК-3000.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1171,56796-14,Весы неавтоматического действия,,HL-3000WP,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-18T00:00:00Z,2014-56796-14.pdf
1172,70742-18,Шаблоны сварщика универсальные,,мод. УШС-3,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2021-10-18T00:00:00Z,2018-70742-18.pdf
1173,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу двухсторонние с глубиномером (0-150) мм, ц.д.0,02 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1174,27264-11,Тахометры,,Тахометр 6001,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-18T00:00:00Z,2016-27264-11.pdf
1175,48026-11,Весы лабораторные,,150,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1176,48026-11,Весы лабораторные,,"ВК, модификация ВК-1500",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-18T00:00:00Z,2021-48026-11.pdf
1177,59942-15,Газоанализаторы стационарные оптические,,"СГОЭС, мод. СГОЭС-М-2","СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-10-18T00:00:00Z,2019-59942-15.pdf
1178,69578-17,Термометры технические жидкостные,,ТТЖ-Х N2,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-18T00:00:00Z,2021-69578-17.pdf
1179,64188-16,Индикаторы,,"Индикатор ИЧ-1-0,001",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-18T00:00:00Z,2016-64188-16.pdf
1180,9937-12,Амперметры и вольтметры оптоэлектронные,,Ф1760 -АД,Ф1760 и Ф1760-АД,,,"ОАО ""Приборостроительный завод ""Вибратор"", г.С.-Петербург",2021-10-18T00:00:00Z,2017-09937-12.pdf
1181,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-2-ПЕНТАН,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-10-18T00:00:00Z,2019-59942-15.pdf
1182,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦ-I-150,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1183,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,DRIVESAFE II,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2021-10-18T00:00:00Z,2016-53543-13.pdf
1184,45282-10,Автоцистерны,м3,56476-01,"БЦМ-229 мод. 56476-01, БЦМ-229.2 мод. 56476-04",,,"ЗАО ""Бецема"", г.Красногорск",2021-10-18T00:00:00Z,2010-45282-10.pdf
1185,53565-13,Генераторы сигналов произвольной формы,,33522В,"33509В, 33510В, 33511В, 33512В, 33519В, 33520В, 33521В, 33522В",,,"Фирма ""Agilent Technologies"", Малайзия",2021-10-18T00:00:00Z,2013-53565-13.pdf
1186,64188-16,Индикаторы,,"ИЧ-10 с ц.д. 0,01 мм",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-18T00:00:00Z,2016-64188-16.pdf
1187,43616-10,Тахеометры электронные,,Nikon Nivo 1.C,"Nikon Nivo 1.C, Nikon Nivo 2.C, Nikon Nivo 2.M, Nikon Nivo 3.C, Nikon Nivo 3.M, Nikon Nivo 5.C, Nikon Nivo 5.M, Nikon Nivo 5.MW",,,"Фирма ""Trimble Navigation Ltd."", США",2021-10-18T00:00:00Z,2015-43616-10.pdf
1188,69578-17,Термометры технические жидкостные,,"ТТЖ, исп. ТТЖ-Х",ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-18T00:00:00Z,2021-69578-17.pdf
1189,23377-07,Измерители удельной электрической проводимости вихретоковые,,Измеритель удельной электрической проводимости вихретоковый ВЭ-27НЦ/4-5,ВЭ-27НЦ,,,"ООО НПП ""Сигма"", г.Екатеринбург",2021-10-18T00:00:00Z,2017-23377-07.pdf
1190,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКГВ 90 3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-18T00:00:00Z,2008-27361-04.pdf
1191,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с цифровым отсчетным устройством двусторонние без глубиномера,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-18T00:00:00Z,2014-57709-14.pdf
1192,74507-19,Измерители сопротивления изоляции,,нет модификации,МЕГЕОН,,,"Компания ""ARCO Electronics Ltd."", Китай",2021-10-18T00:00:00Z,2019-74507-19.pdf
1193,43185-09,Весы напольные,,РВ-30,РВ,,,"Фирма ""CAS Corporation Ltd."", Корея",2021-10-18T00:00:00Z,2009-43185-09.pdf
1194,74292-19,"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) филиала ПАО ""ОГК-2"" - Сургутская ГРЭС-1 (АИИС КУЭ Сургутской ГРЭС-1)",,-,Нет данных,,,"ООО ""АНТ-Сервис"", г.Москва",2021-10-18T00:00:00Z,2019-74292-19.pdf
1195,52095-12,Тепловизоры инфракрасные,,модель Ti125,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2021-10-19T00:00:00Z,2012-52095-12.pdf
1196,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с цифровым отсчетным устройством,двухсторонние с глубиномером,от 0 до 150 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1197,68997-17,Сигнализаторы загазованности комбинированные,,RGDCO0MP11SE,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-10-19T00:00:00Z,2017-68997-17.pdf
1198,44121-10,Сигнализаторы загазованности природным газом,,СЗЦ-2,СЗ-1С,,,"ООО ""Центр Инновационных технологий-Плюс"" (ЦИТ-Плюс), г.Саратов",2021-10-19T00:00:00Z,2020-44121-10.pdf
1199,39667-08,Акселерометры пьезоэлектрические,,4300/4371 4371,4300,,,"Фирма ""Bruel & Kjaer"", Дания",2021-10-19T00:00:00Z,2014-39667-08.pdf
1200,44121-10,Сигнализаторы загазованности природным газом,,СЗЦ-1,СЗ-1С,,,"ООО ""Центр Инновационных технологий-Плюс"" (ЦИТ-Плюс), г.Саратов",2021-10-19T00:00:00Z,2020-44121-10.pdf
1201,43616-10,Тахеометры электронные,,Электронный тахеометр Nivo 3.M,"Nikon Nivo 1.C, Nikon Nivo 2.C, Nikon Nivo 2.M, Nikon Nivo 3.C, Nikon Nivo 3.M, Nikon Nivo 5.C, Nikon Nivo 5.M, Nikon Nivo 5.MW",,,"Фирма ""Trimble Navigation Ltd."", США",2021-10-19T00:00:00Z,2015-43616-10.pdf
1202,69578-17,Термометры технические жидкостные,,мод. ТТЖ-Х,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-19T00:00:00Z,2021-69578-17.pdf
1203,40994-09,Мультиметры цифровые,,Fluke 8808A,Fluke 8808A,,,"Фирма ""Fluke Corporation"", США",2021-10-19T00:00:00Z,2019-40994-09.pdf
1204,44188-10,Весы товарные,кг,HW-10KGL,HW,,,"Фирма ""A&D Scales Co., Ltd."", Корея",2021-10-19T00:00:00Z,2010-44188-10.pdf
1205,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"односторонний, с отсчетом по нониусу",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1206,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с цифровым отсчётным устройством двусторонние с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1207,45959-10,Штангенглубиномеры,,"MarCal 30 EWN (версия А) ШГЦ-100-0,01","MarCal 30 EWR, MarCal 30 ER, MarCal 30 EWN",,,"Фирма ""Mahr GmbH Esslingen"", Германия",2021-10-19T00:00:00Z,2015-45959-10.pdf
1208,61703-15,Измерители артериального давления и частоты пульса автоматические,,717(НЕМ-8712-СМ),"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2021-10-19T00:00:00Z,2017-61703-15.pdf
1209,54814-13,Штангенрейсмасы,,ШРЦ тип I,"ШР, ШРК, ШРЦ",,,"ООО ""ГЦ Тулз"", г.Димитровград",2021-10-19T00:00:00Z,2013-54814-13.pdf
1210,74507-19,Измерители сопротивления изоляции,,Измеритель сопротивления изоляции МЕГЕОН 13225,МЕГЕОН,,,"Компания ""ARCO Electronics Ltd."", Китай",2021-10-19T00:00:00Z,2019-74507-19.pdf
1211,56796-14,Весы неавтоматического действия,,HT-120 ,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-19T00:00:00Z,2014-56796-14.pdf
1212,54895-13,Машины для испытаний,,ИП-1А-1500,ИП-1А,,,"ООО ""Внедрение Научно-Исследовательских Разработок - производство"", г.Москва",2021-10-19T00:00:00Z,2013-54895-13.pdf
1213,56684-14,Весы неавтоматического действия,,XPE205DR,X,,,"Фирма ""Mettler-Toledo AG"", Швейцария",2021-10-19T00:00:00Z,2014-56684-14.pdf
1214,46512-11,Измерители длины материалов,,ИДМ мод. ИДМ-65ПВР,"ИДМ мод. ИДМ-20, ИДМ-30, ИДМ-65ПВВР, ИДМ-65ПВР, ИДМ-120",,,"ООО ""СМОЛ ЛТД"", г.С.-Петербург",2021-10-19T00:00:00Z,2016-46512-11.pdf
1215,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦ-I-250,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1216,72500-18,Анализаторы телевизионных и радиовещательных сигналов,,RANGERNeo 3,"RANGERNeo 2, RANGERNeo 3, RANGERNeo 4",,,"Фирма ""PROMAX Electronica S.L."", Испания",2021-10-19T00:00:00Z,2018-72500-18.pdf
1217,22850-11,Дозиметры индивидуальные рентгеновского и гамма-излучений,,(модификация ДКГ-РМ1621),ДКГ-РМ1621,,,"ООО ""Полимастер"", Беларусь, г.Минск",2021-10-19T00:00:00Z,2011-22850-11.pdf
1218,66459-17,Счетчики электрической энергии однофазные индукционные,,ЭУ10М,ЭУ10М,,,"ООО ""АВМ-ЭЛЕКТРО"", г.С.-Петербург",2021-10-19T00:00:00Z,2017-66459-17.pdf
1219,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу двусторонний с глубиномером, диапазон измерения от 0 до 125 мм, цена деления 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1220,53265-13,Преобразователи измерительные,,Нет модификации,Rosemount 248,,,"ЗАО ""Промышленная группа ""Метран"", г.Челябинск",2021-10-19T00:00:00Z,2018-53265-13.pdf
1221,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ90-7/25,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-19T00:00:00Z,2008-27361-04.pdf
1222,64188-16,Индикаторы,,"мод. ИЧЦ 25 0,01",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-19T00:00:00Z,2016-64188-16.pdf
1223,57709-14,"Штангенциркули торговой марки ""Калиброн""",,Двусторонние с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1224,68997-17,Сигнализаторы загазованности комбинированные,,RGD ME5 MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-10-19T00:00:00Z,2017-68997-17.pdf
1225,44377-10,Термоанемометры,,Термоанемометр ТТМ-2/8-06,ТТМ-2,,,"АО ""Экологические сенсоры и системы"" (ЭКСИС), г.Москва",2021-10-19T00:00:00Z,2020-44377-10-2.pdf
1226,68349-17,Рефлектометры оптические,,MAX-730C-SM1,MAX-700C,,,"Фирма ""EXFO Inc."", Канада",2021-10-19T00:00:00Z,2021-68349-17.pdf
1227,27461-09,Анализаторы гематологические,,мод. KX-21N,KX-21N,,,"Фирма ""Sysmex Corporation"", Япония",2021-10-19T00:00:00Z,2009-27461-09.pdf
1228,61703-15,Измерители артериального давления и частоты пульса автоматические,,OMRON:711 (HEM-8712-CM2),"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2021-10-19T00:00:00Z,2017-61703-15.pdf
1229,23377-07,Измерители удельной электрической проводимости вихретоковые,,ВЭ=27/4-5,ВЭ-27НЦ,,,"ООО НПП ""Сигма"", г.Екатеринбург",2021-10-19T00:00:00Z,2017-23377-07.pdf
1230,61703-15,Измерители артериального давления и частоты пульса автоматические,,"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)","OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2021-10-19T00:00:00Z,2017-61703-15.pdf
1231,69578-17,Термометры технические жидкостные,,мод. ТТЖ-СХ,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-19T00:00:00Z,2021-69578-17.pdf
1232,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-135-0,1",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1233,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"модификация с цифровым отсчётным устройством двусторонний с глубиномером (0-150) мм, дискретность отсчёта 0,01 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1234,48026-11,Весы лабораторные,,"ВК, модификации ВК-1500.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-19T00:00:00Z,2021-48026-11.pdf
1235,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,нет,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2021-10-19T00:00:00Z,2018-30939-13.pdf
1236,27264-11,Тахометры,,модификации АТТ-6001,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-19T00:00:00Z,2016-27264-11.pdf
1237,57709-14,"Штангенциркули торговой марки ""Калиброн""",,мод. ШЦ-I,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-19T00:00:00Z,2014-57709-14.pdf
1238,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Сквг90 3 /15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-19T00:00:00Z,2008-27361-04.pdf
1239,48905-12,Измерители магнитной индукции,,модификация П3-81-02,П3-81,,,"ООО ""ПКФ Цифровые приборы"", г.Москва",2021-10-19T00:00:00Z,2016-48905-12.pdf
1240,72148-18,Дефектоскопы ультразвуковые,,NOVOTEST УД3701,NOVOTEST УД3701,,,"ООО НТЦ ""Промышленное Оборудование и Технологии"" (Промтехнологии), г.С.-Петербург",2021-10-19T00:00:00Z,2018-72148-18.pdf
1241,24204-03,Комплекты термопреобразователей сопротивления платиновых,,КТСПТВХ Pt100,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2021-10-19T00:00:00Z,2017-24204-03.pdf
1242,57130-14,Весы автомобильные электронные для взвешивания в движении,,ВАТ­Д­60,ВАТ-Д,,,"ООО ""Южно-Уральский Весовой Завод"" (ЮУВЗ), г.Уфа",2021-10-19T00:00:00Z,2018-57130-14.pdf
1243,19341-11,Газоанализаторы,,"""ПЭМ-2М""",ПЭМ-2М,,,"АО ""Проманалитприбор"", г.Бердск",2021-10-20T00:00:00Z,2021-19341-11.pdf
1244,49149-12,Амперметры лабораторные,,Э539М,"Э535М, Э536М, Э537М, Э538М, Э539М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2021-10-20T00:00:00Z,2012-49149-12.pdf
1245,40099-08,Излучатели в виде модели абсолютно черного тела,,нет модификации,АЧТ-45/100/1100,,,"АО ""НПП ""Эталон"", г.Омск",2021-10-20T00:00:00Z,2019-40099-08.pdf
1246,52670-13,Меры длины концевые плоскопараллельные,,набор №8,Нет данных,,,"Фирма ""G.T.O. Industrial Co. Ltd."", Китай",2021-10-20T00:00:00Z,2017-52670-13.pdf
1247,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,Без модификации,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-10-20T00:00:00Z,2016-64541-16.pdf
1248,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Скв3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-20T00:00:00Z,2008-27361-04.pdf
1249,67373-17,Вычислители количества теплоты,,нет модификации,ВКТ-9,,,"ООО ""ИВТ"", г.С.-Петербург",2021-10-20T00:00:00Z,2017-67373-17-1.pdf
1250,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Сквг90-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-20T00:00:00Z,2008-27361-04.pdf
1251,39667-08,Акселерометры пьезоэлектрические,,4300/4384 4384,4300,,,"Фирма ""Bruel & Kjaer"", Дания",2021-10-20T00:00:00Z,2014-39667-08.pdf
1252,56796-14,Весы неавтоматического действия,,HL-3000LWP,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-20T00:00:00Z,2014-56796-14.pdf
1253,56018-13,Измерители сопротивления изоляции цифровые,,Измерител сопротивления изоляции цифровой DT-5500,DT,,,"Фирма ""Shenzhen Everbest Machinery Industry Co., Ltd."", Китай",2021-10-20T00:00:00Z,2013-56018-13.pdf
1254,24204-03,Комплекты термопреобразователей сопротивления платиновых,,мод. КТСПТВХ-В,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2021-10-20T00:00:00Z,2017-24204-03.pdf
1255,48026-11,Весы лабораторные,,мод. ВЭК-600.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-20T00:00:00Z,2021-48026-11.pdf
1256,51035-12,Хроматографы жидкостные,,Chromaster,Chromaster,,,"Фирма ""Hitachi High-Tech Science Corporation"", Япония",2021-10-20T00:00:00Z,2019-51035-12.pdf
1257,201-49,Гири условные,,Нет модификации,ГС,,,"Завод № 171, Украина, г.Харьков",2021-10-20T00:00:00Z,2021-00201-49.pdf
1258,56796-14,Весы неавтоматического действия,,"HL, мод. HT-500","HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-20T00:00:00Z,2014-56796-14.pdf
1259,27264-11,Тахометры,,ATT-6020,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-20T00:00:00Z,2016-27264-11.pdf
1260,48026-11,Весы лабораторные,,ВК мод. ВК-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-20T00:00:00Z,2021-48026-11.pdf
1261,32475-11,Термометры биметаллические,,исп. TBiGelChg,T,,,"Фирма ""Manotherm Beierfeld GmbH"", Германия",2021-10-20T00:00:00Z,2016-32475-11.pdf
1262,39123-08,Вольтметры универсальные,,В7-53/1,В7-53,,,"Частное производственное унитарное предприятие ""Завод СВТ"", Беларусь, г.Минск",2021-10-20T00:00:00Z,2008-39123-08.pdf
1263,27264-11,Тахометры,,мод. АТТ-6006,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-20T00:00:00Z,2016-27264-11.pdf
1264,48794-11,Системы измерений длительности соединений,,MSoftX3000,MSoftX3000,,,"Фирма ""Huawei Technologies Co., Ltd."", Китай",2021-10-20T00:00:00Z,2016-48794-11-1.pdf
1265,69578-17,Термометры технические жидкостные,,ТС-7-М1,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-20T00:00:00Z,2021-69578-17.pdf
1266,54814-13,Штангенрейсмасы,,"ШРЦ (0-300; 0,01)","ШР, ШРК, ШРЦ",,,"ООО ""ГЦ Тулз"", г.Димитровград",2021-10-20T00:00:00Z,2013-54814-13.pdf
1267,56018-13,Измерители сопротивления изоляции цифровые,,DT модель DT-5500,DT,,,"Фирма ""Shenzhen Everbest Machinery Industry Co., Ltd."", Китай",2021-10-20T00:00:00Z,2013-56018-13.pdf
1268,43629-10,Вакуумметры тепловые,,VD83,VD,,,"Компания ""Thyracont Vacuum Instruments GmbH"", Германия",2021-10-20T00:00:00Z,2015-43629-10.pdf
1269,43521-09,Уровнемеры ультразвуковые,,ULM-55-Xi-06,"ULM-53N-02, ULM-53N-06, ULM-53N-10, ULM-53N-20, ULM-55N-02, ULM-55N-06, ULM-55N-10, ULM-55Xi-02, ULM-55Xi-06",,,"Фирма ""Dinel s.r.o."", Чехия",2021-10-20T00:00:00Z,2009-43521-09.pdf
1270,79562-20,Меры электрического сопротивления многозначные,,"МС3055, кт 0,05",типа МС 3055,,,"Общество с ограниченной ответственностью предприятие ""ЗИП-Научприбор"" (ООО предприятие ""ЗИП-Научприбор""), г. Краснодар",2021-10-20T00:00:00Z,2020-79562-20.pdf
1271,59280-14,Сейсмодатчики,,СД 4-09,СД 4,,,"АО ""НИИ физических измерений"" (НИИФИ), г.Пенза",2021-10-20T00:00:00Z,2019-59280-14.pdf
